student_ID,first_name,last_name,birthdate,country_ID,bac_ID,bac_moy
4701,Genovera,Gussie,17/02/2006,c4,b3,14.18
2347,Kyle,Garth,06/10/2006,c2,b6,17.06
8087,Hamid,Diemer,27/06/2006,c2,b4,12.9
1051,Lorrie,Heaselgrave,01/02/2006,c5,b5,18.59
9122,Codi,Jakubovits,13/01/2006,c1,b3,19.62
5013,Kristin,Fold,18/04/2006,c3,b6,11.04
1926,Sofia,Proback,05/02/2006,c5,b5,13.01
0334,Justina,Rubinowitch,28/04/2006,c1,b4,10.59
0159,Etty,Deathridge,25/09/2006,c2,b6,18.38
8689,Faina,Faloon,15/12/2006,c3,b1,16.37
1778,Robbi,Doe,30/09/2006,c4,b4,11.66
9402,Stacia,Fullbrook,18/04/2006,c1,b1,15.67
6579,Ermentrude,Spurgin,14/12/2006,c3,b5,15.69
7490,Nedda,Najafian,20/11/2006,c1,b2,10.15
3238,Samaria,Ayling,16/09/2006,c2,b5,16.61
2273,Harlen,McEntee,27/03/2006,c3,b1,13.88
2508,Warner,McAuley,20/07/2006,c5,b1,10.83
7921,Artus,Davidovics,26/04/2006,c4,b6,16.32
1599,Jodee,Gooder,20/09/2006,c4,b4,19.8
9045,Juana,Stenners,17/01/2006,c4,b4,15.77
5025,Byron,Goodlett,21/08/2006,c4,b4,19.03
8684,Slade,Moorey,16/10/2006,c1,b1,16.07
6172,Lezlie,Cordeau,06/11/2006,c1,b6,17.36
2419,Josepha,Manchester,27/11/2006,c1,b1,14.61
1001,Lucien,MacMaykin,14/11/2006,c4,b3,15.46
8594,Jolie,Towell,20/07/2006,c4,b1,14.0
9843,Leland,Dedmam,08/04/2006,c2,b2,17.99
0749,Joice,Feldman,03/06/2006,c3,b4,19.19
3768,Karina,Montier,15/04/2006,c3,b4,16.94
6498,Kris,Emmett,16/03/2006,c2,b3,15.12
6913,Levin,Blasl,25/01/2006,c2,b5,19.95
2432,Thaxter,MacAllan,05/12/2006,c2,b5,15.02
6970,Nanine,Chalcraft,07/09/2006,c2,b2,15.3
9201,Johnathon,McGeever,18/03/2006,c4,b6,13.53
0525,Bevvy,Gowing,07/10/2006,c4,b4,10.27
7453,Ernie,Dulwitch,20/08/2006,c4,b2,17.75
2744,Konstantin,Tosdevin,01/12/2006,c1,b3,12.34
2928,Noah,Sullens,23/10/2006,c5,b1,10.61
7512,Nonna,Shortell,11/07/2006,c5,b1,15.76
1560,Claudetta,Jackson,09/08/2006,c4,b2,10.79
5541,Ulrikaumeko,Skirvane,16/12/2006,c4,b4,10.18
3598,Inesita,O'Hengerty,26/05/2006,c3,b3,18.53
5548,Kenneth,Demougeot,20/12/2006,c5,b3,12.22
9365,Mathian,Piller,17/12/2006,c1,b1,19.27
7457,Norbie,Betteney,02/05/2006,c5,b3,19.81
6640,Tandi,Gleave,24/10/2006,c4,b3,16.6
3976,Norri,Auchterlonie,27/05/2006,c5,b6,10.59
2514,Aigneis,Plumtree,27/01/2006,c1,b3,17.61
5946,Ronny,Maude,04/03/2006,c5,b4,15.23
8110,Valli,Ellsworthe,28/01/2006,c3,b1,12.83
4468,Gracia,Brozsset,25/06/2006,c3,b2,10.25
8619,Dud,Balassa,25/11/2006,c4,b2,15.34
5457,Joceline,Balshen,28/01/2006,c5,b3,16.49
3075,Ealasaid,Tantrum,20/04/2006,c3,b6,15.59
8317,Dalila,Pharoah,28/03/2006,c4,b5,16.38
7799,Bat,Soda,18/04/2006,c5,b3,15.74
1674,Shauna,Erdes,09/10/2006,c2,b3,14.5
9387,Janessa,Grigsby,26/08/2006,c1,b5,14.6
5156,Mike,Papachristophorou,09/06/2006,c4,b6,17.25
2022,Pavlov,Steabler,06/03/2006,c2,b1,16.23
0690,Frannie,Dannell,02/01/2006,c1,b3,16.62
8768,Mile,Bazoche,18/11/2006,c2,b5,18.03
0432,Germaine,Fursey,15/02/2006,c5,b5,15.72
0739,Lorrayne,Gillum,21/06/2006,c4,b2,17.49
9323,Eliot,Hanigan,06/12/2006,c4,b4,16.56
